requested_entrez	probe_id	requested_symbol	module_memberships	mapping_rules	rescued_by_entrez	candidate_probe_count	platform_symbol	platform_entrez	platform_ilmn_gene	all_sample_mean_expression	all_sample_median_expression	all_sample_expression_variance	all_sample_expression_sd	all_sample_minimum_expression	all_sample_maximum_expression	primary_rule_top_median	primary_rule_median_tie	primary_rule_tie_count	variance_rule_top_variance	variance_rule_tie	variance_rule_tie_count	selection_rule
57007	ILMN_1798360	ACKR3	VIR_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	CXCR7	57007	CXCR7	6.43301516713014	6.3785237495	0.0774575808801816	0.278312020725267	5.80558358	7.300496112	6.3785237495	TRUE	1	0.0774575808801816	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
59	ILMN_1671703	ACTA2	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ACTA2	59	ACTA2	7.8376118709589	7.833043507	0.605151195866906	0.777914645617953	5.905875447	10.01615426	7.833043507	TRUE	1	0.605151195866906	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
575	ILMN_1729529	ADGRB1	VIR_M1a	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	4	BAI1	575	BAI1	5.97631615760274	5.995753761	0.0195509202876653	0.13982460544434	5.542579491	6.635404597	5.995753761	TRUE	1	0.0195509202876653	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
326	ILMN_2261519	AIRE	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	AIRE	326	AIRE	11.9835745270548	11.991846635	0.148579323601384	0.385459885852451	10.95822964	13.01738108	11.991846635	TRUE	1	0.148579323601384	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
9582	ILMN_2219466	APOBEC3B	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	APOBEC3B	9582	APOBEC3B	6.14649124817123	6.1318542415	0.0795069358436498	0.281969742780409	5.532796934	7.099127909	6.1318542415	TRUE	1	0.0795069358436498	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
200316	ILMN_2296950	APOBEC3F	VIR_M1a;VIR_M1b	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	4	APOBEC3F	200316	APOBEC3F	7.30479982407534	7.2473279915	0.184768144506427	0.429846652315016	6.142499484	8.353697025	7.2473279915	TRUE	1	0.184768144506427	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
164668	ILMN_1664828	APOBEC3H	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	APOBEC3H	164668	APOBEC3H	6.33830235956849	6.2526991435	0.0985723301067922	0.313962306824867	5.747018147	7.412811653	6.2526991435	TRUE	1	0.0985723301067922	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
481	ILMN_1730291	ATP1B1	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	3	ATP1B1	481	ATP1B1	6.07626375739041	6.1146184085	0.0243265422475014	0.155969683744955	5.642698845	6.637640709	6.2306481195	FALSE	1	0.0243265422475014	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
498	ILMN_2341363	ATP5F1A	BACT_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	ATP5A1	498	ATP5A1	10.9895068593425	10.979470265	0.182580142204591	0.427293976326125	9.714996622	12.02910012	11.244324385	FALSE	1	0.182580142204591	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
521	ILMN_1726603	ATP5ME	BACT_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	3	ATP5I	521	ATP5I	10.0271742969384	9.969166049	0.541313703785408	0.735740242059253	8.472712403	12.16441128	9.969166049	TRUE	1	0.541313703785408	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
9551	ILMN_2310621	ATP5MF	BACT_M2	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	2	ATP5J2	9551	ATP5J2	9.4770770764863	9.50998724	0.194166374308169	0.440643137139532	8.335752374	10.75970153	9.50998724	TRUE	1	0.194166374308169	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
558	ILMN_2364521	AXL	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	AXL	558	AXL	6.03663328828082	6.0000838655	0.0695869719897528	0.263793426737197	5.632613813	7.502980393	6.0000838655	TRUE	1	0.0695869719897528	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
64343	ILMN_1733680	AZI2	VIR_M1a;VIR_M1b	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	AZI2	64343	AZI2	6.75400669830822	6.7058752865	0.12806197289559	0.357857475673752	6.119889058	7.928741287	6.7058752865	TRUE	1	0.12806197289559	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
596	ILMN_2246956	BCL2	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	4	BCL2	596	BCL2	7.76421646059589	7.784811615	0.382450510814014	0.6184258329129	6.46759496	9.475529166	7.784811615	TRUE	1	0.382450510814014	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
640	ILMN_1668277	BLK	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	BLK	640	BLK	8.00989971618493	8.072631763	0.454333401427731	0.674042581316441	6.546885564	9.760855132	8.072631763	TRUE	1	0.454333401427731	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
654	ILMN_1747650	BMP6	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	BMP6	654	BMP6	6.38681309345206	6.3153029055	0.0905311178253947	0.300883894260552	5.802431238	7.491280905	6.3153029055	TRUE	1	0.0905311178253947	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
657	ILMN_2095577	BMPR1A	VIR_M2	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	BMPR1A	657	BMPR1A	5.8902965890411	5.9054400555	0.0179117939404158	0.133834950369535	5.54862038	6.277336676	6.093692378	FALSE	1	0.0179117939404158	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
665	ILMN_1718961	BNIP3L	VIR_M1a	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	BNIP3L	665	BNIP3L	8.94721962695891	8.5249448305	1.6955601540651	1.30213676473138	6.795995336	12.80275918	8.5249448305	TRUE	1	1.6955601540651	TRUE	1	Highest variance across all 146 samples; lexicographically smallest probe ID for exact ties
