clean_paragraph_index	response_ids	previous_redline_action	readable_redline_action	tracked_insert_wrappers	tracked_delete_wrappers	clean_excerpt
1	TITLE_REFRAME	TRACKED_REPLACE_TITLE	READABLE_INSERTION_ONLY_DIFF	3	0	External transportability of bacterial- and viral-associated host-response modules across public transcriptomic cohorts
2	TITLE_REFRAME	TRACKED_REPLACE_SHORT_TITLE	READABLE_INSERTION_ONLY_DIFF	1	0	Short title: Transportable infection modules
11	REVISION_OBJECTIVES	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Objectives
12	REVISION_OBJECTIVES	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	To determine whether bacterial- and viral-associated whole-blood host-response modules discovered in GSE211567 retain their prespecified directions when applied unchanged to two ex
14	RR05|RR06|RR07|RR08|RR09|RR11|RR14|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were applied unchanged to GSE73461 and GSE72810 using an unweighted
16	RR05|RR07|RR08|RR09|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 had confidence intervals excluding zero and passed false-discov
18	RR07	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The predefined host-response modules retained their expected directions across two external cohorts measured on different Illumina platforms, with the strongest reproducible suppor
23	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Here, GSE211567 was used to discover bacterial- and viral-associated host-response programmes while requiring cross-site directional support. Five conservative modules were defined
27	RR05|RR10	TRACKED_WORD_LEVEL_REVISION	READABLE_INSERTION_ONLY_DIFF	6	0	This study used a staged design that kept discovery separate from external testing. GSE211567 was used for discovery, biological interpretation and definition of the five modules.
28	RR05	TRACKED_WORD_LEVEL_REVISION	READABLE_INSERTION_ONLY_DIFF	3	0	Public host-transcriptomic datasets were considered if they contained infection-relevant human transcriptomic data, recoverable sample metadata, interpretable pathogen-class labels
30	RR13	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE211567 provided the discovery dataset and contained whole-blood transcriptomic samples from Sri Lanka and the United States [12]. After metadata and expression-quality auditing,
31	RR06	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Differential-expression results were treated as a discovery-ranking layer rather than a diagnostic signature [15]. Positive log2 fold-change values were interpreted as bacterial-hi
33	RR10|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE73461 expression, annotation, metadata and group labels were audited independently of module discovery [13]. The cohort was measured on the Illumina GPL10558 platform. The 52 De
35	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 cross-platform validation and probe selection
36	RR05|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 contained 146 paediatric whole-blood samples measured using the Illumina HumanHT-12 v3 platform [14]. All 146 samples were retained in the main z-score reference populatio
37	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Predefined module genes were reconciled to the GSE72810 platform through Entrez identifiers. Of 313 module-gene instances, 303 were mapped and 10 were unmapped. Module coverage was
39	RR11|RR14	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	For the primary mean-z analyses, expression for each mapped gene g in sample i was standardised within the prespecified reference population as z_gi = (x_gi - mean_g) / SD_g. For a
40	RR08|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Wilcoxon rank-sum tests compared bacterial and viral module scores, with Benjamini-Hochberg correction across the five modules [18]. Positive effects denote bacterial-higher scores
42	RR05|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Z-reference sensitivity was evaluated by repeating scoring using only the primary bacterial and viral samples as the reference population. GSE72810 sensitivity analyses additionall
43	RR07|RR08|RR11|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	A GSVA sensitivity analysis was performed in GSE73461 using the unchanged module gene sets and both z-reference populations. Because mean-z and GSVA scores have different numerical
44	RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Gene-deletion robustness was assessed exhaustively in GSE73461 by recalculating every module after removal of each individual gene and every pair of genes. Variant scores were comp
46	LIMITATION|RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The GSE72810 and GSE73461 GEO sample accession sets were disjoint and the cohorts were measured on different Illumina array platforms. However, direct participant overlap could not
51	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Fig 1. Discovery and conservative definition of bacterial- and viral-associated host-response modules in GSE211567
52	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(A) Primary bacterial-versus-viral discovery analysis in GSE211567. The volcano-style plot summarises the limma-ranked host-transcriptomic contrast used as the discovery starting p
53	RR12_LEGENDS|RR13	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(B) Cross-site concordance of the GSE211567 bacterial-versus-viral discovery contrast. Spearman correlations summarise ranked agreement of log2 fold changes between the pooled, Sri
54	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(C) The five predefined GSE211567 discovery modules used in external testing. Two modules were bacterial-higher, representing cytoplasmic translation/ribosomal protein activity and
56	RR06	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Directionally eligible features were mapped to genes and assessed using Gene Ontology biological-process enrichment. Redundancy-reduced biological groups were reviewed using the do
58	RR10	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The primary GSE73461 contrast contained 52 DefiniteBacterial and 94 DefiniteViral samples. All modules passed the predefined coverage threshold and were scored without gene reselec
59	RR11|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	All five modules retained their discovery directions (Fig 2; Table 1). BACT_M2 was bacterial-higher, with a median bacterial-minus-viral score difference of +0.3328 and BH-adjusted
60	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Fig 2. External evaluation of predefined GSE211567 discovery modules in GSE73461
61	RR12_LEGENDS|RR14	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(A) Distribution of locked module scores in the independent GSE73461 external projection cohort. Module scores were calculated using the pre-specified unweighted mean z-score rule
62	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(B) Median bacterial-minus-viral module-score differences in the main GSE73461 projection and in the primary-only z-score sensitivity analysis. Positive values indicate higher scor
63	RR12_LEGENDS|RR15|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	(C) BH-adjusted Wilcoxon P values for the main projection and the primary-only z-score sensitivity analysis are shown as independent points for each categorical module. Circles den
65	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Table 1. External evaluation of the five predefined GSE211567 discovery modules in GSE73461
66	RR14	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Module scores were calculated using the pre-specified unweighted mean z-score rule without gene reselection, module redefinition, reweighting or diagnostic model training. The prim
70	RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	3	0	Main projection result: Median bacterial-minus-viral module-score difference and Benjamini–Hochberg adjusted Wilcoxon P value from the main GSE73461 projection analysis.
71	RR11|RR14|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	3	0	Primary-only z-score sensitivity result: Median bacterial-minus-viral module-score difference and Benjamini–Hochberg adjusted Wilcoxon P value after gene-wise z-scoring using only
73	RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	3	0	Abbreviations: BH, Benjamini–Hochberg; OXPHOS, oxidative phosphorylation.
74	RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Table 1 reports fixed-module external projection. It should not be interpreted as diagnostic classifier discovery, model training, gene rediscovery, module redefinition or causal v
75	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 provides accession-level and cross-platform validation
76	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The GSE72810 primary contrast contained 23 definite bacterial and 28 definite viral samples. Coverage of the predefined module genes remained high after Entrez reconciliation and p
77	RR08	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	BACT_M2 had a Hodges-Lehmann bacterial-minus-viral shift of +0.425 (95% CI +0.161 to +0.676; adjusted P = 0.0020). VIR_M1a, VIR_M1b and VIR_M2 had shifts of -0.726 (95% CI -0.907 t
79	RR05|RR08|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	For harmonised cross-cohort comparison, Fig 3 and Table 2 report Hodges-Lehmann bacterial-minus-viral shifts with bootstrap 95% confidence intervals; these estimates are distinct f
80	RR05|RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Fig 3. Cross-cohort validation of locked module effects in GSE73461 and GSE72810
81	RR08|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Hodges-Lehmann bacterial-minus-viral module-score shifts are shown with stratified nonparametric bootstrap 95% confidence intervals for the five modules predefined in the GSE211567
82	RR05|RR10	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Positive estimates indicate higher module scores in bacterial samples, whereas negative estimates indicate higher scores in viral samples. GSE73461 contained 52 DefiniteBacterial a
83	RR08|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 retained their expected directions with confidence intervals excluding zero and BH-adjusted Wilcoxon P values below 0.05 in both cohorts. BACT_
85	LIMITATION|RR05|RR10	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	GSE72810 was analysed as a second accession-level and sample-level cohort providing cross-platform validation. Its GSM accession set was disjoint from GSE73461 and it used a differ
86	RR08|RR12_LEGENDS	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Table 2. Cross-cohort Hodges-Lehmann effects for the five locked host-response modules
87	RR08|RR12_LEGENDS|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Effects are Hodges-Lehmann bacterial-minus-viral location shifts with bootstrap 95% confidence intervals. Positive values indicate bacterial-higher scores and negative values indic
90	RR05|RR08|RR11|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Across the two GSE73461 z-reference analyses and four GSE72810 z-reference, case-definition and probe-collapse analyses, all 30 module estimates retained the expected direction (S1
91	RR07|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The GSVA analysis retained all expected directions but showed non-uniform inferential support (S1 Fig, panel B). BACT_M2, VIR_M1a and VIR_M1b remained supported under both mean-z a
92	RR09	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Exhaustive deletion analysis supports distributed module signal
93	RR09	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The leave-one/two-gene analysis evaluated 29,826 module variants across the two GSE73461 scoring populations (S1 Fig, panel C). Every variant retained the expected module direction
95	RR05|RR08	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	This study evaluated whether biologically curated whole-blood host-response modules discovered in GSE211567 retained their prespecified bacterial-higher or viral-higher behaviour w
97	RR05|RR07|RR09|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The sensitivity analyses refine rather than uniformly strengthen this interpretation. Direction was stable across z-reference populations, GSE72810 case definitions and probe handl
98	RR08|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	The principal contribution is not a diagnostic classifier, but a transparent framework for asking whether predefined biological modules retain their behaviour in new datasets. Fixi
99	LIMITATION|RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Several limitations remain. Public metadata and infection adjudication were imperfect, and the cohorts differed in age, syndrome, pathogen composition, platform and preprocessing.
102	RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Supplementary Tables S1-S5 retain the original external-cohort search register, locked GSE211567 module definitions, GSE73461 identifier coverage and probe choices, GSE73461 sample
103	RR05|RR07|RR08|RR09|RR16	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	Supplementary Table S6 (parts S6A-S6D) provides the GSE72810 cohort audit, sample-classification framework, locked primary and expanded contrasts, and cross-cohort independence ass
104	RR07|RR09|RR11	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	1	0	S1 Fig presents z-reference, case-definition and probe-collapse sensitivity, mean-z versus GSVA scoring-method sensitivity, and exhaustive leave-one/two-gene robustness.
113	RR05	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	7	0	This study reanalysed publicly available transcriptomic datasets from the NCBI Gene Expression Omnibus. The discovery dataset is GSE211567 (https://www.ncbi.nlm.nih.gov/geo/query/a
115	EDITOR_CODE	TRACKED_INSERT_PARAGRAPH	TRACKED_INSERT_PARAGRAPH	11	0	Analysis scripts, decision logs, quality gates, source-data tables, manuscript-facing figures and supplementary outputs are available in the public project repository at https://gi
