clean_paragraph_index	clean_style	classification	best_submitted_paragraph_index	similarity_score	sequence_ratio	containment	jaccard	clean_excerpt	submitted_excerpt
1	Title	REVISION_ADDITION_CANDIDATE	2	0.568333	0.562500	0.583333	0.500000	External transportability of bacterial- and viral-associated host-response modules across public transcriptomic cohorts	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
2	Body Text	REVISION_ADDITION_CANDIDATE	2	0.373000	0.320000	0.400000	0.250000	Short title: Transportable infection modules	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
3	Body Text	NEAR_UNCHANGED	47	0.824472	0.031873	1.000000	0.024845	Reuben S. Maghembe¹˒²*	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
4	Body Text	NEAR_UNCHANGED	4	1.000000	1.000000	1.000000	1.000000	¹Department of Microbiology and Parasitology, Faculty of Medicine, St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania	Department of Microbiology and Parasitology, Faculty of Medicine, St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania
5	Body Text	NEAR_UNCHANGED	5	0.947500	0.765957	1.000000	0.708333	²Department of Omics and Computational Biology, AfroBiomics Co. Ltd., Kivukoni, Bridge Street, Dar es Salaam, Tanzania	Department of Omics and Computational Biology, AfroBiomics Co. Ltd., Kivukoni, Bridge Street, Dar es Salaam, Tanzania *Correspondence: rmaghembe@gmail.com, rmaghembe@sfuchas.ac.tz
6	Body Text	REVISION_ADDITION_CANDIDATE	47	0.411111	0.008032	0.500000	0.006173	*Corresponding author:	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
7	Body Text	NEAR_UNCHANGED	47	0.824472	0.031873	1.000000	0.024845	Reuben S. Maghembe	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...
8	Body Text	NEAR_UNCHANGED	4	0.970000	0.764706	1.000000	0.722222	St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania	Department of Microbiology and Parasitology, Faculty of Medicine, St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania
9	Body Text	MODIFIED_CANDIDATE	5	0.795855	0.500000	0.909091	0.280000	Email: rmaghembe@gmail.com; rmaghembe@sfuchas.ac.tz	Department of Omics and Computational Biology, AfroBiomics Co. Ltd., Kivukoni, Bridge Street, Dar es Salaam, Tanzania *Correspondence: rmaghembe@gmail.com, rmaghembe@sfuchas.ac.tz
10	Heading 1	NEAR_UNCHANGED	6	0.821429	0.010256	1.000000	0.007937	Abstract	ABSTRACT Host transcriptomic studies have been used to distinguish bacterial from viral infection, but the external stability of the underlying biological response programmes re...
11	Heading 2	REVISION_ADDITION_CANDIDATE	1	0.000000	0.000000	0.000000	0.000000	Objectives	Manuscript Click here to access/download;Manuscript;PLOS_ONE_manuscript_18_6_202
12	First Paragraph	REVISION_ADDITION_CANDIDATE	24	0.219780	0.219780	0.075000	0.138462	To determine whether bacterial- and viral-associated whole-blood host-response modules discovered in GSE211567 retain their prespecified directions when applied unchanged to two...	Figure captions Figure 1. Site-aware discovery and conservative locking of bacterial- and viral-associated host- response modules in GSE211567. (A) Primary bacterial-versus-vira...
13	Heading 2	EXACT_UNCHANGED	35	1.000000	1.000000	1.000000	1.000000	Methods	Methods
14	First Paragraph	REVISION_ADDITION_CANDIDATE	41	0.241546	0.241546	0.040404	0.217391	Five biologically guided modules were defined and fixed in GSE211567 before external analysis. The same modules were applied unchanged to GSE73461 and GSE72810 using an unweight...	Locked modules were scored in GSE73461 using a predefined unweighted mean z-score rule. The primary projection contrast compared DefiniteBacterial and DefiniteViral samples; Con...
15	Heading 2	EXACT_UNCHANGED	11	1.000000	1.000000	1.000000	1.000000	Results	Results
16	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.207368	0.018692	0.250000	0.013158	All five modules retained their expected directions in both projection cohorts. BACT_M2, VIR_M1a, VIR_M1b and VIR_M2 had confidence intervals excluding zero and passed false-dis...	Declarations and availability statements
17	Heading 2	NEAR_UNCHANGED	6	0.821429	0.010256	1.000000	0.007937	Conclusions	ABSTRACT Host transcriptomic studies have been used to distinguish bacterial from viral infection, but the external stability of the underlying biological response programmes re...
18	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.208830	0.035088	0.250000	0.021277	The predefined host-response modules retained their expected directions across two external cohorts measured on different Illumina platforms, with the strongest reproducible sup...	Declarations and availability statements
19	Heading 1	NEAR_UNCHANGED	8	0.821429	0.012903	1.000000	0.007937	Introduction	Introduction Distinguishing bacterial from viral infection remains important for infectious-disease medicine, antimicrobial stewardship and host-response biology [1-4]. Although...
20	First Paragraph	NEAR_UNCHANGED	11	0.822466	0.023810	1.000000	0.013699	Distinguishing bacterial from viral infection remains important for infectious-disease medicine, antimicrobial stewardship and host-response biology [1-4]. Although pathogen det...	Results
21	Body Text	REVISION_ADDITION_CANDIDATE	8	0.318519	0.318519	0.181034	0.333333	A complementary question is whether biologically interpretable response programmes discovered in one setting behave similarly when tested in a different cohort. In this study, t...	Introduction Distinguishing bacterial from viral infection remains important for infectious-disease medicine, antimicrobial stewardship and host-response biology [1-4]. Although...
22	Body Text	REVISION_ADDITION_CANDIDATE	9	0.563380	0.563380	0.222222	0.431818	Public infection transcriptomic cohorts are valuable for this purpose, but samples may differ by geography, clinical syndrome, pathogen spectrum, platform, preprocessing and cas...	Public infection transcriptomic cohorts are valuable for this purpose but require safeguards because samples may differ by geography, clinical syndrome, pathogen spectrum, platf...
23	Body Text	REVISION_ADDITION_CANDIDATE	10	0.463576	0.463576	0.234375	0.326316	Here, GSE211567 was used to discover bacterial- and viral-associated host-response programmes while requiring cross-site directional support. Five conservative modules were defi...	Here, GSE211567 was used for site-aware discovery of bacterial- and viral-associated host-response programmes. Five conservative modules were locked and then projected into GSE7...
25	Heading 1	EXACT_UNCHANGED	35	1.000000	1.000000	1.000000	1.000000	Methods	Methods
26	Heading 1	NEAR_UNCHANGED	36	0.970000	0.112676	1.000000	0.078431	Study design and datasets	Study design and datasets This study used a staged transcriptomic transportability design with a strict discovery/projection firewall. GSE211567 was used for discovery, biologic...
27	First Paragraph	MODIFIED_CANDIDATE	36	0.648649	0.648649	0.253731	0.513514	This study used a staged design that kept discovery separate from external testing. GSE211567 was used for discovery, biological interpretation and definition of the five module...	Study design and datasets This study used a staged transcriptomic transportability design with a strict discovery/projection firewall. GSE211567 was used for discovery, biologic...
28	Body Text	MODIFIED_CANDIDATE	37	0.634731	0.634731	0.373134	0.604938	Public host-transcriptomic datasets were considered if they contained infection-relevant human transcriptomic data, recoverable sample metadata, interpretable pathogen-class lab...	Public host-transcriptomic datasets were considered for discovery, rehearsal or external projection if they contained infection-relevant human transcriptomic data, recoverable s...
29	Heading 1	MODIFIED_CANDIDATE	38	0.670118	0.112676	0.800000	0.078431	GSE211567 discovery and module definition	GSE211567 discovery and module locking GSE211567 metadata and normalised expression data were audited before modelling (National Center for Biotechnology Information, n.d.-a). S...
30	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.207000	0.014184	0.250000	0.011111	GSE211567 provided the discovery dataset and contained whole-blood transcriptomic samples from Sri Lanka and the United States [12]. After metadata and expression-quality auditi...	Declarations and availability statements
31	Body Text	NEAR_UNCHANGED	11	0.822022	0.016129	1.000000	0.011236	Differential-expression results were treated as a discovery-ranking layer rather than a diagnostic signature [15]. Positive log2 fold-change values were interpreted as bacterial...	Results
32	Heading 1	MODIFIED_CANDIDATE	17	0.627203	0.091954	0.750000	0.067797	GSE73461 formal external projection	GSE73461 passed the identifier-coverage gate after Illumina probe annotation with `illuminaHumanv4.db`; module-level identifier coverage, matched genes, missing genes and projec...
33	First Paragraph	REVISION_ADDITION_CANDIDATE	16	0.295858	0.295858	0.101266	0.284091	GSE73461 expression, annotation, metadata and group labels were audited independently of module discovery [13]. The cohort was measured on the Illumina GPL10558 platform. The 52...	GSE73461 was locked as an independent external projection cohort After module locking, independent external projection required a cohort with compatible host- transcriptomic dat...
34	Body Text	REVISION_ADDITION_CANDIDATE	17	0.406250	0.406250	0.422222	0.277778	Illumina probes were mapped to gene symbols, and locked genes were checked against predefined module-coverage thresholds. The numbers of scored genes were 24/25 for BACT_M1, 21/...	GSE73461 passed the identifier-coverage gate after Illumina probe annotation with `illuminaHumanv4.db`; module-level identifier coverage, matched genes, missing genes and projec...
35	Heading 1	REVISION_ADDITION_CANDIDATE	40	0.279649	0.053333	0.333333	0.035088	GSE72810 cross-platform validation and probe selection	GSE73461 projection and statistical analysis GSE73461 expression and annotation files were audited independently (National Center for Biotechnology Information, n.d.-b). Illumin...
36	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.208051	0.023529	0.250000	0.016949	GSE72810 contained 146 paediatric whole-blood samples measured using the Illumina HumanHT-12 v3 platform [14]. All 146 samples were retained in the main z-score reference popula...	Declarations and availability statements
37	Body Text	REVISION_ADDITION_CANDIDATE	45	0.207432	0.021739	0.250000	0.013514	Predefined module genes were reconciled to the GSE72810 platform through Entrez identifiers. Of 313 module-gene instances, 303 were mapped and 10 were unmapped. Module coverage ...	Declarations and availability statements
38	Heading 1	REVISION_ADDITION_CANDIDATE	40	0.508981	0.081081	0.600000	0.094340	Module scoring and statistical analysis	GSE73461 projection and statistical analysis GSE73461 expression and annotation files were audited independently (National Center for Biotechnology Information, n.d.-b). Illumin...
39	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.207903	0.022989	0.250000	0.016129	For the primary mean-z analyses, expression for each mapped gene g in sample i was standardised within the prespecified reference population as z_gi = (x_gi - mean_g) / SD_g. Fo...	Declarations and availability statements
40	Body Text	REVISION_ADDITION_CANDIDATE	45	0.208673	0.032787	0.250000	0.020408	Wilcoxon rank-sum tests compared bacterial and viral module scores, with Benjamini-Hochberg correction across the five modules [18]. Positive effects denote bacterial-higher sco...	Declarations and availability statements
41	Heading 1	REVISION_ADDITION_CANDIDATE	45	0.250000	0.250000	0.250000	0.142857	Sensitivity and robustness analyses	Declarations and availability statements
42	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.209091	0.034483	0.250000	0.022727	Z-reference sensitivity was evaluated by repeating scoring using only the primary bacterial and viral samples as the reference population. GSE72810 sensitivity analyses addition...	Declarations and availability statements
43	Body Text	REVISION_ADDITION_CANDIDATE	45	0.208673	0.036364	0.250000	0.020408	A GSVA sensitivity analysis was performed in GSE73461 using the unchanged module gene sets and both z-reference populations. Because mean-z and GSVA scores have different numeri...	Declarations and availability statements
44	Body Text	NEAR_UNCHANGED	11	0.824865	0.043478	1.000000	0.027027	Gene-deletion robustness was assessed exhaustively in GSE73461 by recalculating every module after removal of each individual gene and every pair of genes. Variant scores were c...	Results
45	Heading 1	REVISION_ADDITION_CANDIDATE	34	0.334750	0.039604	0.400000	0.037500	Cross-cohort interpretation and reproducibility boundaries	Conclusion In conclusion, site-aware discovery followed by fixed external projection identified host-response programmes with varying degrees of transportability across infectio...
46	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.208333	0.028169	0.250000	0.018519	The GSE72810 and GSE73461 GEO sample accession sets were disjoint and the cohorts were measured on different Illumina array platforms. However, direct participant overlap could ...	Declarations and availability statements
47	Body Text	REVISION_ADDITION_CANDIDATE	70	0.414186	0.040000	0.500000	0.023256	Analysis scripts, decision logs, quality gates, source-data tables, manuscript-facing figures and supplementary outputs were organised in the project repository. The analyses ev...	Supplementary Material
48	Heading 1	EXACT_UNCHANGED	11	1.000000	1.000000	1.000000	1.000000	Results	Results
49	Heading 1	REVISION_ADDITION_CANDIDATE	2	0.299048	0.206897	0.333333	0.142857	GSE211567 discovery identifies bacterial- and viral-associated programmes across sites	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
50	First Paragraph	REVISION_ADDITION_CANDIDATE	12	0.506667	0.506667	0.142857	0.409639	The GSE211567 discovery analysis used a predefined bacterial-versus-viral contrast while keeping module definition separate from external testing. The primary limma analysis ran...	GSE211567 discovery analysis identifies site-aware bacterial- and viral-associated host- response programmes The discovery analysis was performed in GSE211567 using a predefined...
51	Normal	REVISION_ADDITION_CANDIDATE	2	0.439939	0.400000	0.466667	0.318182	Fig 1. Discovery and conservative definition of bacterial- and viral-associated host-response modules in GSE211567	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...
52	First Paragraph	REVISION_ADDITION_CANDIDATE	45	0.209500	0.040816	0.250000	0.025000	(A) Primary bacterial-versus-viral discovery analysis in GSE211567. The volcano-style plot summarises the limma-ranked host-transcriptomic contrast used as the discovery startin...	Declarations and availability statements
53	Body Text	REVISION_ADDITION_CANDIDATE	13	0.248366	0.248366	0.066667	0.234043	(B) Cross-site concordance of the GSE211567 bacterial-versus-viral discovery contrast. Spearman correlations summarise ranked agreement of log2 fold changes between the pooled, ...	The site-stratified concordance analysis showed that the pooled bacterial-versus-viral contrast was strongly concordant with the Sri Lanka stratum and moderately concordant with...
54	Body Text	REVISION_ADDITION_CANDIDATE	15	0.519774	0.519774	0.088235	0.414894	(C) The five predefined GSE211567 discovery modules used in external testing. Two modules were bacterial-higher, representing cytoplasmic translation/ribosomal protein activity ...	Two locked modules were bacterial-higher: BACT_M1, representing a cytoplasmic translation and ribosomal protein programme, and BACT_M2, representing mitochondrial respiration an...
55	Heading 1	REVISION_ADDITION_CANDIDATE	14	0.250649	0.103896	0.285714	0.090909	Conservative biological curation defines five fixed modules	Conservative module locking defines five projection-ready discovery modules Site-aware eligible bacterial-higher and viral-higher features were mapped from transcript-level iden...
56	First Paragraph	REVISION_ADDITION_CANDIDATE	15	0.352941	0.352941	0.128205	0.339806	Directionally eligible features were mapped to genes and assessed using Gene Ontology biological-process enrichment. Redundancy-reduced biological groups were reviewed using the...	Two locked modules were bacterial-higher: BACT_M1, representing a cytoplasmic translation and ribosomal protein programme, and BACT_M2, representing mitochondrial respiration an...
57	Heading 1	REVISION_ADDITION_CANDIDATE	17	0.322016	0.087912	0.375000	0.080645	GSE73461 formal external projection retains all expected directions	GSE73461 passed the identifier-coverage gate after Illumina probe annotation with `illuminaHumanv4.db`; module-level identifier coverage, matched genes, missing genes and projec...
58	First Paragraph	REVISION_ADDITION_CANDIDATE	18	0.333333	0.333333	0.218750	0.290909	The primary GSE73461 contrast contained 52 DefiniteBacterial and 94 DefiniteViral samples. All modules passed the predefined coverage threshold and were scored without gene rese...	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
59	Body Text	REVISION_ADDITION_CANDIDATE	19	0.503067	0.503067	0.224138	0.361446	All five modules retained their discovery directions (Fig 2; Table 1). BACT_M2 was bacterial-higher, with a median bacterial-minus-viral score difference of +0.3328 and BH-adjus...	All five modules showed expected-direction concordance in GSE73461 (Figure 2A; Table 1). BACT_M2 was higher in DefiniteBacterial than DefiniteViral samples, with a median bacter...
60	Normal	REVISION_ADDITION_CANDIDATE	26	0.320000	0.320000	0.250000	0.242424	Fig 2. External evaluation of predefined GSE211567 discovery modules in GSE73461	Figure 2. Fixed external projection of locked GSE211567 modules in GSE73461. (A) Module-score distributions in DefiniteBacterial and DefiniteViral samples. (B) Main and primary-...
61	First Paragraph	REVISION_ADDITION_CANDIDATE	18	0.432990	0.432990	0.111111	0.549020	(A) Distribution of locked module scores in the independent GSE73461 external projection cohort. Module scores were calculated using the pre-specified unweighted mean z-score ru...	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...
