submitted_paragraph_index	classification	best_clean_paragraph_index	clean_style	similarity_score	sequence_ratio	containment	jaccard	submitted_excerpt	clean_excerpt
1	BASELINE_DELETION_OR_REWRITE_CANDIDATE	120	Heading 1	0.112500	0.100000	0.125000	0.055556	Manuscript Click here to access/download;Manuscript;PLOS_ONE_manuscript_18_6_202	Declaration of generative AI and AI-assisted technologies in the manuscript preparation process
2	BASELINE_DELETION_OR_REWRITE_CANDIDATE	1	Title	0.568333	0.562500	0.583333	0.500000	Cross-cohort transportability of bacterial- and viral-associated host-response modules in public infection transcriptomic datasets Short title: Transportability of infection hos...	External transportability of bacterial- and viral-associated host-response modules across public transcriptomic cohorts
3	MODIFIED_OR_RELOCATED	3	Body Text	0.705000	0.666667	0.750000	0.500000	Reuben S. Maghembe1,2*	Reuben S. Maghembe¹˒²*
4	NEAR_RETAINED	4	Body Text	1.000000	1.000000	1.000000	1.000000	Department of Microbiology and Parasitology, Faculty of Medicine, St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania	¹Department of Microbiology and Parasitology, Faculty of Medicine, St. Francis University College of Health and Allied Sciences (SFUCHAS), Ifakara, Tanzania
5	NEAR_RETAINED	5	Body Text	0.947500	0.765957	1.000000	0.708333	Department of Omics and Computational Biology, AfroBiomics Co. Ltd., Kivukoni, Bridge Street, Dar es Salaam, Tanzania *Correspondence: rmaghembe@gmail.com, rmaghembe@sfuchas.ac.tz	²Department of Omics and Computational Biology, AfroBiomics Co. Ltd., Kivukoni, Bridge Street, Dar es Salaam, Tanzania
6	NEAR_RETAINED	10	Heading 1	0.821429	0.010256	1.000000	0.007937	ABSTRACT Host transcriptomic studies have been used to distinguish bacterial from viral infection, but the external stability of the underlying biological response programmes re...	Abstract
7	BASELINE_DELETION_OR_REWRITE_CANDIDATE	2	Body Text	0.175250	0.111111	0.200000	0.062500	Keywords: host transcriptomics; bacterial infection; viral infection; interferon response; immune metabolism; module transportability	Short title: Transportable infection modules
8	NEAR_RETAINED	15	Heading 2	0.821429	0.012903	1.000000	0.007937	Introduction Distinguishing bacterial from viral infection remains important for infectious-disease medicine, antimicrobial stewardship and host-response biology [1-4]. Although...	Results
9	BASELINE_DELETION_OR_REWRITE_CANDIDATE	22	Body Text	0.577465	0.577465	0.222222	0.431818	Public infection transcriptomic cohorts are valuable for this purpose but require safeguards because samples may differ by geography, clinical syndrome, pathogen spectrum, platf...	Public infection transcriptomic cohorts are valuable for this purpose, but samples may differ by geography, clinical syndrome, pathogen spectrum, platform, preprocessing and cas...
10	BASELINE_DELETION_OR_REWRITE_CANDIDATE	23	Body Text	0.463576	0.463576	0.234375	0.326316	Here, GSE211567 was used for site-aware discovery of bacterial- and viral-associated host-response programmes. Five conservative modules were locked and then projected into GSE7...	Here, GSE211567 was used to discover bacterial- and viral-associated host-response programmes while requiring cross-site directional support. Five conservative modules were defi...
11	EXACT_RETAINED	15	Heading 2	1.000000	1.000000	1.000000	1.000000	Results	Results
12	BASELINE_DELETION_OR_REWRITE_CANDIDATE	50	First Paragraph	0.506667	0.506667	0.142857	0.409639	GSE211567 discovery analysis identifies site-aware bacterial- and viral-associated host- response programmes The discovery analysis was performed in GSE211567 using a predefined...	The GSE211567 discovery analysis used a predefined bacterial-versus-viral contrast while keeping module definition separate from external testing. The primary limma analysis ran...
13	NEAR_RETAINED	15	Heading 2	0.823000	0.025316	1.000000	0.016667	The site-stratified concordance analysis showed that the pooled bacterial-versus-viral contrast was strongly concordant with the Sri Lanka stratum and moderately concordant with...	Results
14	BASELINE_DELETION_OR_REWRITE_CANDIDATE	32	Heading 1	0.416545	0.054054	0.500000	0.036364	Conservative module locking defines five projection-ready discovery modules Site-aware eligible bacterial-higher and viral-higher features were mapped from transcript-level iden...	GSE73461 formal external projection
15	BASELINE_DELETION_OR_REWRITE_CANDIDATE	54	Body Text	0.519774	0.519774	0.088235	0.414894	Two locked modules were bacterial-higher: BACT_M1, representing a cytoplasmic translation and ribosomal protein programme, and BACT_M2, representing mitochondrial respiration an...	(C) The five predefined GSE211567 discovery modules used in external testing. Two modules were bacterial-higher, representing cytoplasmic translation/ribosomal protein activity ...
16	BASELINE_DELETION_OR_REWRITE_CANDIDATE	32	Heading 1	0.419310	0.072289	0.500000	0.051724	GSE73461 was locked as an independent external projection cohort After module locking, independent external projection required a cohort with compatible host- transcriptomic dat...	GSE73461 formal external projection
17	MODIFIED_OR_RELOCATED	32	Heading 1	0.627203	0.091954	0.750000	0.067797	GSE73461 passed the identifier-coverage gate after Illumina probe annotation with `illuminaHumanv4.db`; module-level identifier coverage, matched genes, missing genes and projec...	GSE73461 formal external projection
18	BASELINE_DELETION_OR_REWRITE_CANDIDATE	61	First Paragraph	0.432990	0.432990	0.111111	0.549020	Fixed-module external projection supports transportability of the locked host-response architecture Locked GSE211567 modules were scored in GSE73461 using the pre-specified unwe...	(A) Distribution of locked module scores in the independent GSE73461 external projection cohort. Module scores were calculated using the pre-specified unweighted mean z-score ru...
19	BASELINE_DELETION_OR_REWRITE_CANDIDATE	59	Body Text	0.503067	0.503067	0.224138	0.361446	All five modules showed expected-direction concordance in GSE73461 (Figure 2A; Table 1). BACT_M2 was higher in DefiniteBacterial than DefiniteViral samples, with a median bacter...	All five modules retained their discovery directions (Fig 2; Table 1). BACT_M2 was bacterial-higher, with a median bacterial-minus-viral score difference of +0.3328 and BH-adjus...
20	BASELINE_DELETION_OR_REWRITE_CANDIDATE	59	Body Text	0.295455	0.295455	0.084507	0.350000	The viral-associated modules showed the strongest external transportability. VIR_M1a was higher in DefiniteViral samples, with a median bacterial-minus-viral difference of -0.46...	All five modules retained their discovery directions (Fig 2; Table 1). BACT_M2 was bacterial-higher, with a median bacterial-minus-viral score difference of +0.3328 and BH-adjus...
21	BASELINE_DELETION_OR_REWRITE_CANDIDATE	71	Body Text	0.404762	0.404762	0.281250	0.395833	Primary-only z-score sensitivity confirms robustness to the scoring reference set To test whether the projection result depended on including Control samples in the z-score refe...	Primary-only z-score sensitivity result: Median bacterial-minus-viral module-score difference and Benjamini-Hochberg adjusted Wilcoxon P value after gene-wise z-scoring using on...
22	BASELINE_DELETION_OR_REWRITE_CANDIDATE	59	Body Text	0.272727	0.272727	0.043011	0.262626	The sensitivity analysis preserved the main result. All five modules retained expected-direction concordance (Figure 2B-C; Table 1). BACT_M2 remained significantly higher in Def...	All five modules retained their discovery directions (Fig 2; Table 1). BACT_M2 was bacterial-higher, with a median bacterial-minus-viral score difference of +0.3328 and BH-adjus...
23	NEAR_RETAINED	15	Heading 2	0.822535	0.023256	1.000000	0.014085	Together, these results support external transportability of a pre-specified bacterial- and viral- associated host-response module architecture from GSE211567 into an independen...	Results
24	BASELINE_DELETION_OR_REWRITE_CANDIDATE	51	Normal	0.363636	0.363636	0.266667	0.255814	Figure captions Figure 1. Site-aware discovery and conservative locking of bacterial- and viral-associated host- response modules in GSE211567. (A) Primary bacterial-versus-vira...	Fig 1. Discovery and conservative definition of bacterial- and viral-associated host-response modules in GSE211567
25	BASELINE_DELETION_OR_REWRITE_CANDIDATE	49	Heading 1	0.295152	0.186047	0.333333	0.121212	Alt text for Figure 1: A three-panel figure showing the discovery workflow outputs: a primary bacterial- versus-viral transcriptomic contrast, a site-stratified concordance summ...	GSE211567 discovery identifies bacterial- and viral-associated programmes across sites
26	BASELINE_DELETION_OR_REWRITE_CANDIDATE	32	Heading 1	0.428000	0.095238	0.500000	0.100000	Figure 2. Fixed external projection of locked GSE211567 modules in GSE73461. (A) Module-score distributions in DefiniteBacterial and DefiniteViral samples. (B) Main and primary-...	GSE73461 formal external projection
27	NEAR_RETAINED	15	Heading 2	0.827200	0.074074	1.000000	0.040000	Alt text for Figure 2: A three-panel figure showing external fixed-module projection results in GSE73461, including module-score distributions, main-versus-sensitivity median di...	Results
28	BASELINE_DELETION_OR_REWRITE_CANDIDATE	32	Heading 1	0.415094	0.025641	0.500000	0.028302	Table 1. Fixed-module external projection summary in GSE73461. Main Sensitivity Discovery Biological Main Sensitivity Module Coverage median median direction programme adjusted ...	GSE73461 formal external projection
29	NEAR_RETAINED	94	Heading 1	0.822857	0.025974	1.000000	0.015873	Discussion This study used a site-aware discovery and fixed-module projection workflow to evaluate host-response module transportability across public infection transcriptomic c...	Discussion
30	MODIFIED_OR_RELOCATED	96	Body Text	0.605108	0.483333	0.666667	0.324675	The viral-associated modules showed the clearest external transportability. VIR_M1a and VIR_M1b captured broad antiviral, interferon-stimulated and viral-restriction programmes,...	The viral-associated modules showed the strongest transportability. VIR_M1a and VIR_M1b captured broad antiviral, interferon-stimulated and viral-restriction programmes, while V...
31	BASELINE_DELETION_OR_REWRITE_CANDIDATE	96	Body Text	0.459893	0.459893	0.091954	0.366972	GSE73461 is consistent with the central role of interferon-linked host responses in viral infection and with prior host-response studies in which interferon-inducible biomarkers...	The viral-associated modules showed the strongest transportability. VIR_M1a and VIR_M1b captured broad antiviral, interferon-stimulated and viral-restriction programmes, while V...
32	BASELINE_DELETION_OR_REWRITE_CANDIDATE	98	Body Text	0.410959	0.410959	0.084507	0.302083	The principal contribution is not a new diagnostic classifier, but a conservative framework for testing whether discovery-derived biological modules remain directionally coheren...	The principal contribution is not a diagnostic classifier, but a transparent framework for asking whether predefined biological modules retain their behaviour in new datasets. F...
33	BASELINE_DELETION_OR_REWRITE_CANDIDATE	99	Body Text	0.466102	0.466102	0.138889	0.427481	Several limitations should guide interpretation, particularly because bacterial-versus-viral adjudication and host-response studies can be affected by imperfect reference standa...	Several limitations remain. Public metadata and infection adjudication were imperfect, and the cohorts differed in age, syndrome, pathogen composition, platform and preprocessin...
34	NEAR_RETAINED	74	Body Text	0.970000	0.426230	1.000000	0.320513	Conclusion In conclusion, site-aware discovery followed by fixed external projection identified host-response programmes with varying degrees of transportability across infectio...	Table 1 reports fixed-module external projection. It should not be interpreted as diagnostic classifier discovery, model training, gene rediscovery, module redefinition or causa...
35	EXACT_RETAINED	13	Heading 2	1.000000	1.000000	1.000000	1.000000	Methods	Methods
36	NEAR_RETAINED	26	Heading 1	0.970000	0.112676	1.000000	0.078431	Study design and datasets This study used a staged transcriptomic transportability design with a strict discovery/projection firewall. GSE211567 was used for discovery, biologic...	Study design and datasets
37	MODIFIED_OR_RELOCATED	28	Body Text	0.646707	0.646707	0.373134	0.604938	Public host-transcriptomic datasets were considered for discovery, rehearsal or external projection if they contained infection-relevant human transcriptomic data, recoverable s...	Public host-transcriptomic datasets were considered if they contained infection-relevant human transcriptomic data, recoverable sample metadata, interpretable pathogen-class lab...
38	MODIFIED_OR_RELOCATED	29	Heading 1	0.670118	0.112676	0.800000	0.078431	GSE211567 discovery and module locking GSE211567 metadata and normalised expression data were audited before modelling (National Center for Biotechnology Information, n.d.-a). S...	GSE211567 discovery and module definition
39	NEAR_RETAINED	15	Heading 2	0.822571	0.020619	1.000000	0.014286	Differential-expression results were treated as a discovery-ranking layer rather than a diagnostic signature [16]. Positive log2 fold-change values were interpreted as bacterial...	Results
40	BASELINE_DELETION_OR_REWRITE_CANDIDATE	38	Heading 1	0.508981	0.081081	0.600000	0.094340	GSE73461 projection and statistical analysis GSE73461 expression and annotation files were audited independently (National Center for Biotechnology Information, n.d.-b). Illumin...	Module scoring and statistical analysis
41	BASELINE_DELETION_OR_REWRITE_CANDIDATE	101	Heading 1	0.412535	0.018182	0.500000	0.014085	Locked modules were scored in GSE73461 using a predefined unweighted mean z-score rule. The primary projection contrast compared DefiniteBacterial and DefiniteViral samples; Con...	Supplementary material
42	BASELINE_DELETION_OR_REWRITE_CANDIDATE	144	Normal	0.280000	0.062500	0.333333	0.037037	Reproducibility and interpretation boundaries Analysis scripts and supporting reproducibility materials were organised in a public GitHub repository and released under tag v1.0....	Supporting information captions
43	BASELINE_DELETION_OR_REWRITE_CANDIDATE	32	Heading 1	0.417826	0.074074	0.500000	0.043478	transportability). The repository contains scripts supporting public data retrieval, metadata harmonisation, identifier matching, module scoring, external projection, statistica...	GSE73461 formal external projection
44	BASELINE_DELETION_OR_REWRITE_CANDIDATE	1	Title	0.000000	0.000000	0.000000	0.000000	249	External transportability of bacterial- and viral-associated host-response modules across public transcriptomic cohorts
45	BASELINE_DELETION_OR_REWRITE_CANDIDATE	112	Heading 1	0.446000	0.333333	0.500000	0.200000	Declarations and availability statements	Data availability
46	NEAR_RETAINED	112	Heading 1	0.825294	0.044444	1.000000	0.029412	Data Availability All transcriptomic datasets analysed in this study are publicly available from the NCBI Gene Expression Omnibus. The discovery analysis used GSE211567, and the...	Data availability
47	NEAR_RETAINED	107	First Paragraph	0.970000	0.055118	1.000000	0.043478	Code Availability Analysis scripts and supporting reproducibility materials are available at https://github.com/rmaghembe1/host-response-module-transportability, with the PLOS O...	The author declares no competing interests.
48	MODIFIED_OR_RELOCATED	124	Body Text	0.866142	0.866142	0.698413	0.790323	References 1. Halabi S, Shiber S, Paz M, Gottlieb TM, Barash E, Navon R, et al. Host test based on tumour necrosis factor-related apoptosis-inducing ligand, interferon gamma-ind...	[2] Halabi S, Shiber S, Paz M, Gottlieb TM, Barash E, Navon R, et al. Host test based on tumour necrosis factor-related apoptosis-inducing ligand, interferon gamma-induced prote...
49	MODIFIED_OR_RELOCATED	123	First Paragraph	0.822581	0.822581	0.377049	0.758621	2. Metlay JP, Waterer GW, Long AC, Anzueto A, Brozek J, Crothers K, et al. Diagnosis and treatment of adults with community-acquired pneumonia: An official clinical practice gui...	[1] Metlay JP, Waterer GW, Long AC, Anzueto A, Brozek J, Crothers K, et al. Diagnosis and treatment of adults with community-acquired pneumonia. An official clinical practice gu...
50	MODIFIED_OR_RELOCATED	125	Body Text	0.878049	0.878049	0.688525	0.813559	3. Papan C, Argentiero A, Porwoll M, Hakim U, Farinelli E, Testa I, et al. A host signature based on TRAIL, IP-10, and CRP for reducing antibiotic overuse in children by differe...	[3] Papan C, Argentiero A, Porwoll M, Hakim U, Farinelli E, Testa I, et al. A host signature based on TRAIL, IP-10, and CRP for reducing antibiotic overuse in children by differ...
51	MODIFIED_OR_RELOCATED	126	Body Text	0.870370	0.870370	0.660377	0.800000	4. Rhedin S, Eklundh A, Ryd-Rinder M, Peltola V, Waris M, Gantelius J, et al. Myxovirus resistance protein A for discriminating between viral and bacterial lower respiratory tra...	[4] Rhedin S, Eklundh A, Ryd-Rinder M, Peltola V, Waris M, Gantelius J, et al. Myxovirus resistance protein A for discriminating between viral and bacterial lower respiratory tr...
52	MODIFIED_OR_RELOCATED	127	Body Text	0.813953	0.813953	0.619048	0.682927	5. Jain S, Self WH, Wunderink RG, Fakhran S, Balk R, Bramley AM, et al. Community-acquired pneumonia requiring hospitalization among U.S. adults. New England Journal of Medicine...	[5] Jain S, Self WH, Wunderink RG, Fakhran S, Balk R, Bramley AM, et al. Community-acquired pneumonia requiring hospitalization among U.S. adults. N Engl J Med. 2015;373:415-27....
53	MODIFIED_OR_RELOCATED	128	Body Text	0.883721	0.883721	0.512195	0.846154	6. Rutjes AWS, Reitsma JB, Coomarasamy A, Khan KS, Bossuyt PMM. Evaluation of diagnostic tests when there is no gold standard: A review of methods. Health Technology Assessment....	[6] Rutjes AWS, Reitsma JB, Coomarasamy A, Khan KS, Bossuyt PMM. Evaluation of diagnostic tests when there is no gold standard. A review of methods. Health Technol Assess. 2007;...
54	MODIFIED_OR_RELOCATED	130	Body Text	0.863636	0.863636	0.372093	0.790698	7. Andres-Terre M, McGuire HM, Pouliot Y, Bongen E, Sweeney TE, Tato CM, et al. Integrated, multi- cohort analysis identifies conserved transcriptional signatures across multipl...	[8] Andres-Terre M, McGuire HM, Pouliot Y, Bongen E, Sweeney TE, Tato CM, et al. Integrated, multi-cohort analysis identifies conserved transcriptional signatures across multipl...
55	MODIFIED_OR_RELOCATED	129	Body Text	0.907216	0.907216	0.808511	0.866667	8. Herberg JA, Kaforou M, Wright VJ, Shailes H, Eleftherohorinou H, Hoggart CJ, et al. Diagnostic test accuracy of a 2-transcript host RNA signature for discriminating bacterial...	[7] Herberg JA, Kaforou M, Wright VJ, Shailes H, Eleftherohorinou H, Hoggart CJ, et al. Diagnostic test accuracy of a 2-transcript host RNA signature for discriminating bacteria...
56	NEAR_RETAINED	132	Body Text	0.923077	0.923077	0.818182	0.923077	9. Oved K, Cohen A, Boico O, Navon R, Friedman T, Etshtein L, et al. A novel host-proteome signature for distinguishing between acute bacterial and viral infections. PLOS ONE. 2...	[10] Oved K, Cohen A, Boico O, Navon R, Friedman T, Etshtein L, et al. A novel host-proteome signature for distinguishing between acute bacterial and viral infections. PLoS One....
57	MODIFIED_OR_RELOCATED	131	Body Text	0.831169	0.831169	0.567568	0.756757	10. Sweeney TE, Wong HR, Khatri P. Robust classification of bacterial and viral infections via integrated host gene expression diagnostics. Science Translational Medicine. 2016;...	[9] Sweeney TE, Wong HR, Khatri P. Robust classification of bacterial and viral infections via integrated host gene expression diagnostics. Sci Transl Med. 2016;8:346ra91. DOI:h...
58	MODIFIED_OR_RELOCATED	133	Body Text	0.886364	0.886364	0.604651	0.871795	11. Fernandez-Carballo BL, Escadafal C, MacLean E, Kapasi AJ, Dittrich S. Distinguishing bacterial versus non-bacterial causes of febrile illness: A systematic review of host bi...	[11] Fernandez-Carballo BL, Escadafal C, MacLean E, Kapasi AJ, Dittrich S. Distinguishing bacterial versus non-bacterial causes of febrile illness - a systematic review of host ...
59	MODIFIED_OR_RELOCATED	141	Body Text	0.750000	0.750000	0.516129	0.636364	12. Schneider WM, Chevillotte MD, Rice CM. Interferon-stimulated genes: A complex web of host defences. Annual Review of Immunology. 2014;32: 513-545. doi:10.1146/annurev-immuno...	[19] Schneider WM, Chevillotte MD, Rice CM. Interferon-stimulated genes: a complex web of host defences. Annu Rev Immunol. 2014;32:513-45. DOI:https://doi.org/10.1146/annurev-im...
60	MODIFIED_OR_RELOCATED	142	Body Text	0.761905	0.761905	0.500000	0.636364	13. O’Neill LAJ, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists. Nature Reviews Immunology. 2016;16: 553-565. doi:10.1038/nri.2016.70	[20] O'Neill LAJ, Kishton RJ, Rathmell J. A guide to immunometabolism for immunologists. Nat Rev Immunol. 2016;16:553-65. DOI:https://doi.org/10.1038/nri.2016.70
61	MODIFIED_OR_RELOCATED	143	Body Text	0.793651	0.793651	0.533333	0.687500	14. Russell DG, Huang L, VanderVen BC. Immunometabolism at the interface between macrophages and pathogens. Nature Reviews Immunology. 2019;19: 291-304. doi:10.1038/s41577-019-0...	[21] Russell DG, Huang L, VanderVen BC. Immunometabolism at the interface between macrophages and pathogens. Nat Rev Immunol. 2019;19:291-304. DOI:https://doi.org/10.1038/s41577...
62	BASELINE_DELETION_OR_REWRITE_CANDIDATE	106	Heading 1	0.278198	0.043478	0.333333	0.027027	15. Bossuyt PM, Reitsma JB, Bruns DE, Gatsonis CA, Glasziou PP, Irwig L, et al. STARD 2015: An updated list of essential items for reporting diagnostic accuracy studies. BMJ. 20...	Conflicts of interest
63	MODIFIED_OR_RELOCATED	137	Body Text	0.894118	0.894118	0.682927	0.853659	16. Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, et al. limma powers differential expression analyses for RNA-sequencing and microarray studies. Nucleic Acids Research. 201...	[15] Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, et al. limma powers differential expression analyses for RNA-sequencing and microarray studies. Nucleic Acids Res. 2015;43...
