scoring_population	final_module_id	final_module_label	final_module_direction	locked_gene_count	available_gene_count	missing_gene_count	missing_symbols	n_bacterial	n_viral	mean_bacterial	mean_viral	median_bacterial	median_viral	median_difference_bacterial_minus_viral	wilcox_W	wilcox_p	nominal_p_lt_0_05	expected_direction_match
main_all_projected_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	25	24	1	HYDIN2	52	94	0.0921757900002996	-0.0654060472890546	-0.0512099069297803	-0.257923917899844	0.206714010970064	2873	0.0799243564652853	FALSE	TRUE
main_all_projected_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	21	21	0	none	52	94	0.208899367239193	-0.0141779661485658	0.241090687872253	-0.0917458119629794	0.332836499835232	3033	0.0161730187854322	TRUE	TRUE
main_all_projected_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	128	128	0	none	52	94	-0.246550746041787	0.233626632696282	-0.295749009701834	0.167198442572938	-0.462947452274773	1278	1.90756029587882e-06	TRUE	TRUE
main_all_projected_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	33	0	none	52	94	-0.26956497367652	0.340436467764166	-0.375413651876157	0.298485202161975	-0.673898854038133	1187	2.82349820628983e-07	TRUE	TRUE
main_all_projected_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	106	105	1	BTN2A3P	52	94	-0.17144790813375	0.0908367815252405	-0.220858728537747	0.038698374091173	-0.25955710262892	1758	0.00508827385008718	TRUE	TRUE
primary_only_reference	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	25	24	1	HYDIN2	52	94	0.10767001504321	-0.05956213598135	-0.0450663457424796	-0.266116456290355	0.221050110547876	2876	0.077835567767349	FALSE	TRUE
primary_only_reference	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	21	21	0	none	52	94	0.14301656558463	-0.0791155469191572	0.185092537524498	-0.165284323900502	0.350376861425001	3051	0.0131918722289065	TRUE	TRUE
primary_only_reference	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	128	128	0	none	52	94	-0.291021792650443	0.160990778913011	-0.342404685772091	0.101739839776447	-0.444144525548538	1301	3.02690096568566e-06	TRUE	TRUE
primary_only_reference	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	33	33	0	none	52	94	-0.370855863642177	0.205154307546736	-0.472668589939535	0.171795175529683	-0.644463765469218	1208	4.44027783010254e-07	TRUE	TRUE
primary_only_reference	VIR_M2	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	106	105	1	BTN2A3P	52	94	-0.166997474876352	0.0923815818464926	-0.219640485336016	0.0429345342601169	-0.262575019596133	1753	0.00477512620392515	TRUE	TRUE
