primary_module_key	module_direction	provisional_module_id	provisional_module_label	evidence_grade	interpretation_status	direction_set	candidate_group_id	GO	TERM	overlap_genes	p_value	p_adj_BH	enrichment_ratio	FDR05	overlap_gene_ids	overlap_symbols	review_decision_tier	review_decision_rationale	final_claim_status	final_module_id	final_module_label	final_module_status	final_label_rationale	antiviral_submodule_relationship
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_translation_ribosomal_programme	Cytoplasmic translation / ribosomal protein programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0002181	cytoplasmic translation	18	2.86770946971536e-10	3.38676488373384e-07	4.61460446247465	TRUE	51121;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6201;6203;6210;6229;6232;7311;9349	RPL26L1;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS7;RPS9;RPS15A;RPS24;RPS27;UBA52;RPL23	primary_candidate_module	Compact and coherent bacterial-higher translation/ribosomal programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by cytoplasmic translation/ribosomal GO terms and ribosomal overlap genes.	
higher_in_bacterial | Bacterial_higher_translation_ribosomal_programme | Cytoplasmic translation / ribosomal protein programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_translation_ribosomal_programme	Cytoplasmic translation / ribosomal protein programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_01	GO:0006412	translation	23	1.15079274699679e-05	0.00668877450834312	2.48271117279338	TRUE	100288805;1979;28998;29093;51023;6133;6138;6139;6154;6155;6159;6160;6164;6175;6189;6192;6201;6203;6210;6229;6232;64963;9349	HYDIN2;EIF4EBP2;MRPL13;MRPL22;MRPS18C;RPL9;RPL15;RPL17;RPL26;RPL27;RPL29;RPL31;RPL34;RPLP0;RPS3A;RPS4Y1;RPS7;RPS9;RPS15A;RPS24;RPS27;MRPS11;RPL23	primary_candidate_module	Compact and coherent bacterial-higher translation/ribosomal programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by cytoplasmic translation/ribosomal GO terms and ribosomal overlap genes.	
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0032981	mitochondrial respiratory chain complex I assembly	12	2.26546130680546e-05	0.00668877450834312	3.5158891142664	TRUE	137682;25880;284184;4696;4707;4709;4718;4724;51103;55471;84233;91942	NDUFAF6;TMEM186;NDUFAF8;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFAF1;NDUFAF7;TMEM126A;NDUFAF2	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by respiratory-chain/oxidative phosphorylation GO terms and NDUF/ATP synthase-associated overlap genes.	
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	9	2.96003740808074e-05	0.0069916083578867	4.25963488843813	TRUE	4696;4707;4709;4718;4724;4731;498;521;9551	NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;ATP5F1A;ATP5ME;ATP5MF	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by respiratory-chain/oxidative phosphorylation GO terms and NDUF/ATP synthase-associated overlap genes.	
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0009060	aerobic respiration	10	3.88332249322631e-05	0.00764367310750045	3.84550371872887	TRUE	113115;4191;4696;4707;4709;4718;4724;4731;847;9016	MTFR2;MDH2;NDUFA3;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;CAT;SLC25A14	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by respiratory-chain/oxidative phosphorylation GO terms and NDUF/ATP synthase-associated overlap genes.	
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	8	0.000127727861894537	0.0215495149853497	4.1018706333108	TRUE	4696;4697;4707;4709;4718;4724;4731;51103	NDUFA3;NDUFA4;NDUFB1;NDUFB3;NDUFC2;NDUFS4;NDUFV3;NDUFAF1	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	primary_discovery_module	Retained as a compact bacterial-higher discovery module supported by respiratory-chain/oxidative phosphorylation GO terms and NDUF/ATP synthase-associated overlap genes.	
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	viral_higher_site_aware_eligible	Viral_higher_GO_group_04	GO:0051607	defense response to virus	66	3.63516809380564e-09	1.07328337969612e-06	1.84597794415963	TRUE	10010;100507436;10146;10346;10379;10410;10417;10521;10771;10964;11277;146857;151636;164668;200316;23586;24138;2537;256987;2633;2635;3429;3433;3434;3437;3665;3669;4343;439996;4599;4600;4938;4939;4940;51191;51251;51284;5359;5366;5551;55601;55718;5610;56829;596;64108;64135;64170;64343;665;6772;6773;7098;81030;83666;84851;85363;85364;8638;91351;91543;91607;9188;958;9582;9636	TANK;MICA;G3BP1;TRIM22;IRF9;IFITM3;SPON2;DDX17;ZMYND11;IFI44L;TREX1;SLFN13;DTX3L;APOBEC3H;APOBEC3F;RIGI;IFIT5;IFI6;SERINC5;GBP1;GBP3;IFI27;IFIT2;IFIT1;IFIT3;IRF7;ISG20;MOV10;IFIT1B;MX1;MX2;OAS1;OAS2;OAS3;HERC5;NT5C3A;TLR7;PLSCR1;PMAIP1;PRF1;DDX60;POLR3E;EIF2AK2;ZC3HAV1;BCL2;RTP4;IFIH1;CARD9;AZI2;BNIP3L;STAT1;STAT2;TLR3;ZBP1;PARP9;TRIM52;TRIM5;ZCCHC3;OASL;DDX60L;RSAD2;SLFN11;DDX21;CD40;APOBEC3B;ISG15	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	Retained as the broader antiviral/interferon discovery submodule with strong GO support and canonical ISG/antiviral overlap genes.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	viral_higher_site_aware_eligible	Viral_higher_GO_group_04	GO:0009615	response to virus	34	1.62961457385667e-06	0.000384914962344944	2.00757870694801	TRUE	1021;10346;10410;10561;11040;1654;23586;2625;3433;3434;3437;3665;3669;4599;4600;4938;4939;4940;50943;55601;5610;56829;58487;59;6355;64135;7292;79132;8575;8638;8725;91543;9213;9636	CDK6;TRIM22;IFITM3;IFI44;PIM2;DDX3X;RIGI;GATA3;IFIT2;IFIT1;IFIT3;IRF7;ISG20;MX1;MX2;OAS1;OAS2;OAS3;FOXP3;DDX60;EIF2AK2;ZC3HAV1;CREBZF;ACTA2;CCL8;IFIH1;TNFSF4;DHX58;PRKRA;OASL;URI1;RSAD2;XPR1;ISG15	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	Retained as the broader antiviral/interferon discovery submodule with strong GO support and canonical ISG/antiviral overlap genes.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | A_strong_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	viral_higher_site_aware_eligible	Viral_higher_GO_group_04	GO:0045087	innate immune response	82	0.000948229920245236	0.0491994054048423	1.34080822237795	TRUE	10146;10219;10346;10417;10462;10475;10527;10892;11043;11126;117157;117854;122618;1435;151636;164668;1654;1672;200316;22890;22954;23052;23087;23138;23547;23586;24138;2444;246778;2537;255231;256987;2625;2633;27293;3429;3430;353376;3665;3669;403313;4063;4210;4599;4600;481;4940;51191;51284;5371;54625;54726;54809;55601;55718;558;56829;575;639;640;64127;64135;6714;7098;710;717;83666;85363;85364;8638;8767;912;91543;9188;9246;9258;9582;9618;9636;9782;9830;9908	G3BP1;KLRG1;TRIM22;SPON2;CLEC10A;TRIM38;IPO7;MALT1;MID2;CD160;SH2D1B;TRIM6;PLD4;CSF1;DTX3L;APOBEC3H;DDX3X;DEFB1;APOBEC3F;ZBTB1;TRIM32;ENDOD1;TRIM35;N4BP3;LILRA4;RIGI;IFIT5;FRK;IL27;IFI6;MCOLN2;SERINC5;GATA3;GBP1;SMPDL3B;IFI27;IFI35;TICAM2;IRF7;ISG20;PLPP6;LY9;MEFV;MX1;MX2;ATP1B1;OAS3;HERC5;TLR7;PML;PARP14;OTUD4;SAMD9;DDX60;POLR3E;AXL;ZC3HAV1;ADGRB1;PRDM1;BLK;NOD2;IFIH1;SRC;TLR3;SERPING1;C2;PARP9;TRIM5;ZCCHC3;OASL;RIPK2;CD1D;RSAD2;DDX21;UBE2L6;MFHAS1;APOBEC3B;TRAF4;ISG15;MATR3;TRIM14;G3BP2	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	Retained as the broader antiviral/interferon discovery submodule with strong GO support and canonical ISG/antiviral overlap genes.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
higher_in_viral | Viral_higher_antiviral_interferon_programme | Antiviral / interferon-response programme | B_moderate_GO_support	higher_in_viral	Viral_higher_antiviral_interferon_programme	Antiviral / interferon-response programme	B_moderate_GO_support	candidate_module_ready_for_manual_biological_review	viral_higher_site_aware_eligible	Viral_higher_GO_group_07	GO:0045071	negative regulation of viral genome replication	18	1.3726946227243e-05	0.00199381796006168	2.39138051857043	TRUE	10410;117854;200316;24138;3434;3669;4599;4938;4939;4940;5359;5610;56829;63901;64135;8638;91543;9636	IFITM3;TRIM6;APOBEC3F;IFIT5;IFIT1;ISG20;MX1;OAS1;OAS2;OAS3;PLSCR1;EIF2AK2;ZC3HAV1;FAM111A;IFIH1;OASL;RSAD2;ISG15	primary_candidate_module	Coherent viral-higher antiviral/interferon programme with strong/moderate GO support and recognizable overlap genes.	eligible_for_primary_manual_biological_review_not_final_claim	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	primary_discovery_submodule	Retained as a related but not force-merged antiviral/interferon subgroup because gene overlap with the broader antiviral module was below the merge threshold.	Related antiviral/interferon submodules retained separately; pairwise Jaccard=0.2197; shared genes=29; recommendation=retain_as_related_antiviral_interferon_submodules_pending_manual_review
