base_sample_id	final_module_id	final_module_label	final_module_direction	module_score	matched_genes_n	locked_genes_n	coverage_fraction	sample_group	projection_role
DefiniteBacterial_01	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	2.60735663433824	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_02	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.849232776982914	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_03	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.189597302159481	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_04	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.761804803390448	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_05	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.255133690603273	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_06	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.017844614236141	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_07	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.052180220429805	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_08	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.25921804989844	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_09	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.284056669735409	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_10	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.655573101218973	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_11	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.0425520094513683	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_12	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.346787176428979	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_13	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	-0.13619843531726	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_14	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.00774525219530273	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_15	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.922345853647015	24	25	0.96	DefiniteBacterial	primary_bacterial
DefiniteBacterial_16	BACT_M1	Bacterial-higher cytoplasmic translation and ribosomal protein programme	higher_in_bacterial	0.64610970257567	24	25	0.96	DefiniteBacterial	primary_bacterial
