check_id	check_description	pass	observed	expected
Q01	Clean DOCX SHA locked	TRUE	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f
Q02	Submitted baseline SHA locked	TRUE	0e0b4a2bcec736d2735ecc903ad72e99a1a3897bc09e2f991a7249000852dd34	0e0b4a2bcec736d2735ecc903ad72e99a1a3897bc09e2f991a7249000852dd34
Q03	Scientific source SHA locked	TRUE	f3b61e6ddb9f5d38c6211c6cfe0d8694e6ca3b761d52a3245d58df844ab5b2ae	f3b61e6ddb9f5d38c6211c6cfe0d8694e6ca3b761d52a3245d58df844ab5b2ae
Q04	Marked-up DOCX created	TRUE	True	True
Q05	Marked-up DOCX differs from clean DOCX	TRUE	9ec494b73f6cefa344333e17a6335a6e59a9d9710f91409f137ae234527ecc11	different from clean SHA
Q06	Track Changes enabled	TRUE	True	True
Q07	Tracked insertions exist	TRUE	119	>0
Q08	Tracked deletions exist	TRUE	30	>0
Q09	Tracked-change author is Reuben S. Maghembe	TRUE	Reuben S. Maghembe	Reuben S. Maghembe
Q10	At least 20 revision-target paragraphs are marked	TRUE	71	>=20
Q11	Title replacement is tracked	TRUE	present	present
Q12	Short-title replacement is tracked	TRUE	present	present
Q13	Reviewer/editor targets represented	TRUE	14	>=10
Q14	No comment-related package parts	TRUE	NONE	NONE
Q15	No embedded manuscript figures	TRUE	0	0
Q16	Accepted redline reproduces clean paragraph/table content	TRUE	identical	identical
Q17	Accepted redline preserves section orientations	TRUE	portrait|landscape|portrait|landscape|portrait	portrait|landscape|portrait|landscape|portrait
Q18	Accepted QA copy has two editable tables	TRUE	2	2
Q19	Accepted QA copy has five sections	TRUE	5	5
Q20	Canonical clean DOCX remained immutable	TRUE	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f	691f494f5f2335b1a96f5b8d009c815d733b3c74fab0f230eaa3f73274f6b38f
Q21	LibreOffice smoke render succeeded	TRUE	status=0; bytes=227336	non-empty PDF
