feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	logFC_direction
NM_023068	-4.70660824938662	4.34938748547335	-14.8531187503843	1.40305157440215e-35	2.15843295665143e-32	70.0935102059586	bacterial_vs_viral	higher_in_viral
NM_001288959	-4.86166002315518	3.95526491480513	-14.793138695038	2.22268946510027e-35	3.17511190089573e-32	69.6406530787864	bacterial_vs_viral	higher_in_viral
NM_017414	-4.50343521868811	4.35054655777836	-14.5378945717496	1.57359564384082e-34	2.09802261874483e-31	67.7139795622963	bacterial_vs_viral	higher_in_viral
NM_017912	-2.22751508675222	4.33151056389414	-14.1622354194339	2.79726874148582e-33	3.49641109756093e-30	64.8807271203161	bacterial_vs_viral	higher_in_viral
NM_002982	-6.50486528259744	-1.1298839133915	-13.5281347013437	4.84725326444068e-31	5.70236576679702e-28	59.8084878160553	bacterial_vs_viral	higher_in_viral
NM_001270929	-3.77323797706401	5.12383494863855	-13.4755193554406	5.31048010203317e-31	5.90023842003119e-28	59.7151209902486	bacterial_vs_viral	higher_in_viral
NM_001270927	-3.80287029300164	5.08983139766053	-13.4270319825733	7.68381701361207e-31	8.06632085071329e-28	59.3513383933006	bacterial_vs_viral	higher_in_viral
NM_001165136	-2.12879242694819	4.21570324346362	-13.4206477496906	8.06672418692264e-31	8.06632085071329e-28	59.3034511406595	bacterial_vs_viral	higher_in_viral
NM_001270930	-3.76042072692976	5.0807068038405	-13.2740608346353	2.46204501603862e-30	2.34444392167906e-27	58.2046782718985	bacterial_vs_viral	higher_in_viral
NM_194323	-4.59831799727324	0.78967770066169	-13.2679587501252	2.5790172647102e-30	2.34444392167906e-27	58.1589713672183	bacterial_vs_viral	higher_in_viral
NM_001270928	-3.74542065733683	5.11375688650582	-13.2561807475301	2.82071712027224e-30	2.45267485601411e-27	58.0707573329254	bacterial_vs_viral	higher_in_viral
NM_001548	-3.71101450203177	5.35447547254359	-13.2274473510694	3.50956435154161e-30	2.92449072777003e-27	57.8555946088334	bacterial_vs_viral	higher_in_viral
NM_001287489	-4.63030287612442	0.688566625121021	-13.2061893954044	4.12516485412869e-30	3.29996687670879e-27	57.6964492306398	bacterial_vs_viral	higher_in_viral
NM_002535	-2.5438885237371	6.58281205798707	-12.928940062055	3.38367497560653e-29	2.53078049765381e-26	55.6241398552512	bacterial_vs_viral	higher_in_viral
NM_004802	-4.57295655204724	0.6918388575897	-12.9276574888252	3.41672450805805e-29	2.53078049765381e-26	55.6145682861248	bacterial_vs_viral	higher_in_viral
NM_194248	-4.50821684632318	0.619384409455518	-12.8441162126811	6.43320909572344e-29	4.59491959662047e-26	54.9914378483162	bacterial_vs_viral	higher_in_viral
NM_080657	-3.80660619529833	6.98680230054823	-12.7304482729957	1.52015546352675e-28	1.0483306591404e-25	54.1446446620448	bacterial_vs_viral	higher_in_viral
NM_001243763	-2.7843492496654	0.726465758378055	-12.6979373895196	1.94357728906894e-28	1.29565340680299e-25	53.9026800847283	bacterial_vs_viral	higher_in_viral
NM_001305275	-2.89009738022519	1.07062520276972	-12.6385694117442	3.04333893454026e-28	1.96334630167325e-25	53.4611057359258	bacterial_vs_viral	higher_in_viral
NM_001364727	-2.81596411174057	1.1444367801563	-12.6206956988778	3.48298315061768e-28	2.17675562591259e-25	53.328233664757	bacterial_vs_viral	higher_in_viral
NR_046236	-3.69527811788028	3.68729165349548	-12.590188130346	4.38470151117431e-28	2.65726198551439e-25	53.1015198114053	bacterial_vs_viral	higher_in_viral
NM_021991	-3.08095278779013	1.45838467227555	-12.5491429208315	5.97581708233688e-28	3.51501075969574e-25	52.7966531247254	bacterial_vs_viral	higher_in_viral
NM_001352777	-3.07751079763883	1.42841712196015	-12.5214488511238	7.36331370845764e-28	4.2073974530127e-25	52.5910562908919	bacterial_vs_viral	higher_in_viral
NM_021913	-3.17923170835126	-1.47515594094356	-12.5035087759342	8.42933026875843e-28	4.68272711235833e-25	52.4579167212988	bacterial_vs_viral	higher_in_viral
NM_006187	-3.02700164576438	7.82922887131514	-12.4789432127397	1.01431623973904e-27	5.48251634555165e-25	52.275665135965	bacterial_vs_viral	higher_in_viral
NM_194322	-4.47090990733702	0.644676613976384	-12.475071726111	1.04433171923486e-27	5.49620790867843e-25	52.2469487944743	bacterial_vs_viral	higher_in_viral
NM_198576	-2.86299852928671	1.22485688491148	-12.4401444371868	1.35851760645796e-27	6.96640861834685e-25	51.9879560053371	bacterial_vs_viral	higher_in_viral
NM_005623	-5.44504154250244	-2.42871484897468	-12.4206703899388	1.57299411052987e-27	7.8645773041217e-25	51.8436125735495	bacterial_vs_viral	higher_in_viral
NM_002230	-2.96082884888042	1.75557260530085	-12.380477969103	2.1284224036084e-27	1.03820291828694e-24	51.5458416564813	bacterial_vs_viral	higher_in_viral
NM_001352776	-3.08357555034432	1.41633853987084	-12.3646313139417	2.39781026469236e-27	1.09996245032701e-24	51.4284916817016	bacterial_vs_viral	higher_in_viral
NM_207315	-3.67721766623089	3.80947859328123	-12.3621058191616	2.44378037112846e-27	1.09996245032701e-24	51.4097922636832	bacterial_vs_viral	higher_in_viral
NM_001352775	-3.06122262292159	1.41366356303923	-12.360959893792	2.46492802779913e-27	1.09996245032701e-24	51.4013077849689	bacterial_vs_viral	higher_in_viral
NM_001547	-3.04824288937295	7.93370032667803	-12.3604154597186	2.47503926519904e-27	1.09996245032701e-24	51.3972768272982	bacterial_vs_viral	higher_in_viral
NM_001039570	2.09284144783977	5.2770062896782	12.2865216212423	4.31259134696329e-27	1.87494596408519e-24	50.850501813539	bacterial_vs_viral	higher_in_bacterial
NM_017449	-2.86609498221371	-0.176074261660326	-12.2818698912443	4.46590795242108e-27	1.90029134341424e-24	50.8161037178079	bacterial_vs_viral	higher_in_viral
NM_001352774	-2.9926968988503	1.44888875969466	-12.2789666450086	4.56434032076061e-27	1.90171337656024e-24	50.7946364662191	bacterial_vs_viral	higher_in_viral
NR_002712	-2.8899689607389	4.50728164690992	-12.2245285712726	6.86800114566005e-27	2.80312561045011e-24	50.3923032292562	bacterial_vs_viral	higher_in_viral
NM_001352773	-2.94424938070928	1.74363823708824	-12.1674620798841	1.05359895230995e-26	4.21418508944933e-24	49.9709466231876	bacterial_vs_viral	higher_in_viral
