supplementary_item	source_file	expected_rows	role
S6A	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_candidate_validation_decision.tsv	1	GSE72810 cohort suitability and analysis decision
S6B	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_sample_group_summary.tsv	6	GSE72810 deposited sample-group classification
S6C	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_analysis_group_summaries.tsv	40	Locked primary and sensitivity analysis groups
S6D	results/revision_round1/GSE72810_GSE73461_overlap_independence_audit/GSE72810_GSE73461_independence_dimension_assessment.tsv	5	Accession platform participant and investigator-network assessment
S7A	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_entrez_reconciliation_decision.tsv	1	Structured Entrez reconciliation decision
S7B	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_coverage_entrez_reconciled.tsv	5	Module-level Entrez-reconciled coverage
S7C	results/revision_round1/GSE72810_candidate_validation_audit/GSE72810_locked_module_gene_mapping_entrez_reconciled.tsv	313	Complete locked module-gene reconciliation
S7D	results/revision_round1/GSE72810_probe_rule_design/GSE72810_frozen_representative_probe_choices.tsv	256	Frozen representative probes used for scoring
S8A	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_module_scores_long.tsv	1715	Sample-level locked-module scores
S8B	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_primary_and_sensitivity_tests.tsv	20	Primary and sensitivity Wilcoxon analyses
S8C	results/revision_round1/GSE72810_effect_sizes_confidence_intervals/GSE72810_effect_sizes_confidence_intervals.tsv	20	Hodges-Lehmann rank-biserial and bootstrap confidence intervals
S8D	results/revision_round1/GSE72810_fixed_module_projection/GSE72810_score_concordance.tsv	10	Score-reference and probe-representation concordance
S9A	results/revision_round1/GSE73461_GSE72810_cross_cohort_validation/GSE73461_GSE72810_primary_effect_size_source_data.tsv	10	Harmonised cross-cohort primary effect-size source data
S9B	results/revision_round1/GSE73461_GSE72810_cross_cohort_validation/GSE73461_GSE72810_cross_cohort_summary_table.tsv	5	Manuscript-facing five-module cross-cohort summary
S10A	results/revision_round1/GSE73461_GSVA_projection_comparison/GSE73461_GSVA_primary_projection_effects.tsv	10	Mean-z versus GSVA effect comparison
S10B	results/revision_round1/GSE73461_GSVA_projection_comparison/GSE73461_GSVA_vs_mean_z_correlations.tsv	10	GSVA versus mean-z score concordance
S10C	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_summary.tsv	20	Module-level deletion robustness summary
S10D	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_worst_case_variants.tsv	100	Worst-case deletion variants
S10E	results/revision_round1/GSE73461_leave_one_two_gene_robustness/GSE73461_leave_one_two_gene_variant_results.tsv	29826	Complete exhaustive leave-one and leave-two gene results
