primary_module_key	module_direction	provisional_module_id	provisional_module_label	evidence_grade	interpretation_status	direction_set	candidate_group_id	ENTREZID	SYMBOL	GENENAME	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	recommended_use	representative_GO	representative_TERM	review_decision_tier	review_decision_rationale	final_claim_status	all_three_concordant	abs_pooled_logFC
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4707	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	1.13040482082355	1.42028645004313e-13	1.33302678510374	0.907185513689181	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	1.13040482082355
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4697	NDUFA4	NDUFA4 mitochondrial complex associated	1.43990870418483	6.83851168380457e-10	1.80560661979092	0.976466432194883	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	1.43990870418483
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	9551	ATP5MF	ATP synthase membrane subunit f	0.902637706698252	3.36721317372946e-09	0.898902675239108	0.948244177526573	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.902637706698252
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4718	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	1.01958619210785	1.61824000924309e-07	1.06331966099925	1.02362076498133	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	1.01958619210785
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	521	ATP5ME	ATP synthase membrane subunit e	0.854381487138956	1.94247709485523e-07	1.11944082086528	0.536979774943048	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.854381487138956
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	51103	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	0.787345494836507	1.41133962424495e-06	0.623040737784162	1.05771697821451	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.787345494836507
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4709	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	0.741485853942643	3.04199410838174e-06	0.737152234652674	0.778148344490649	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.741485853942643
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	284184	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	0.877025274263644	1.35087745689756e-05	1.51808180451778	0.0428620743118842	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.877025274263644
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4191	MDH2	malate dehydrogenase 2	0.889557533443158	4.2259004662702e-05	1.34372990347824	0.220607022777692	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.889557533443158
higher_in_bacterial | Bacterial_higher_mitochondrial_respiration_programme | Mitochondrial respiration / oxidative phosphorylation programme | A_strong_GO_support	higher_in_bacterial	Bacterial_higher_mitochondrial_respiration_programme	Mitochondrial respiration / oxidative phosphorylation programme	A_strong_GO_support	candidate_module_ready_for_manual_biological_review	bacterial_higher_site_aware_eligible	Bacterial_higher_GO_group_03	4696	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	0.547547173818523	0.000766103014087434	0.666404302924705	0.366683242193272	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	GO:0032981	mitochondrial respiratory chain complex I assembly	primary_candidate_module	Compact and coherent bacterial-higher mitochondrial respiration/oxidative phosphorylation programme with strong GO support.	eligible_for_primary_manual_biological_review_not_final_claim	TRUE	0.547547173818523
